Unnamed: 0,Date,Time [s],Cycle,Step,Current [A],Voltage [V],Capacity [Ah]
78959,2024-03-01 07:16:18.994,78949.90000000001,1,6,0.0040000999999999,3.5958,0.0279943000000001
78960,2024-03-01 07:16:19.994,78950.90000000001,1,6,0.00400009,3.5958,0.0279954100000001
78961,2024-03-01 07:16:20.994,78951.90000000001,1,6,0.00400008,3.5958,0.0279965200000001
78962,2024-03-01 07:16:21.994,78952.90000000001,1,6,0.00400009,3.5958,0.0279976300000001
78963,2024-03-01 07:16:22.994,78953.90000000001,1,6,0.00400009,3.5958,0.0279987400000001
78964,2024-03-01 07:16:23.994,78954.90000000001,1,6,0.00400009,3.5958,0.0279998500000001
78965,2024-03-01 07:16:24.994,78955.90000000001,1,6,0.00400009,3.5959,0.0280009600000001
78966,2024-03-01 07:16:25.994,78956.90000000001,1,6,0.00400008,3.5959,0.0280020700000001
78967,2024-03-01 07:16:26.994,78957.90000000001,1,6,0.00400008,3.5959,0.0280031800000001
78968,2024-03-01 07:16:27.994,78958.90000000001,1,6,0.00400008,3.5959,0.0280043000000001
78969,2024-03-01 07:16:28.994,78959.90000000001,1,6,0.00400009,3.596,0.0280054100000001
78970,2024-03-01 07:16:29.994,78960.90000000001,1,6,0.00400008,3.5959,0.0280065200000001
78971,2024-03-01 07:16:30.994,78961.90000000001,1,6,0.00400009,3.596,0.0280076300000001
78972,2024-03-01 07:16:31.994,78962.90000000001,1,6,0.00400008,3.596,0.0280087400000001
78973,2024-03-01 07:16:32.994,78963.90000000001,1,6,0.00400009,3.596,0.0280098500000001
78974,2024-03-01 07:16:33.994,78964.90000000001,1,6,0.00400009,3.596,0.0280109600000001
78975,2024-03-01 07:16:34.994,78965.90000000001,1,6,0.00400009,3.5961,0.0280120700000001
78976,2024-03-01 07:16:35.994,78966.90000000001,1,6,0.0040000999999999,3.5961,0.0280131900000001
78977,2024-03-01 07:16:36.994,78967.90000000001,1,6,0.0040000999999999,3.5961,0.0280143000000001
78978,2024-03-01 07:16:37.994,78968.90000000001,1,6,0.0040000999999999,3.5961,0.0280154100000001
78979,2024-03-01 07:16:38.994,78969.90000000001,1,6,0.00400009,3.5961,0.0280165200000001
78980,2024-03-01 07:16:39.994,78970.90000000001,1,6,0.0040000999999999,3.5962,0.0280176300000001
78981,2024-03-01 07:16:40.994,78971.90000000001,1,6,0.0040000999999999,3.5962,0.0280187400000001
78982,2024-03-01 07:16:41.994,78972.90000000001,1,6,0.00400009,3.5962,0.0280198500000001
78983,2024-03-01 07:16:42.994,78973.90000000001,1,6,0.00400009,3.5962,0.0280209600000001
78984,2024-03-01 07:16:43.994,78974.90000000001,1,6,0.00400008,3.5962,0.0280220700000001
78985,2024-03-01 07:16:44.994,78975.90000000001,1,6,0.00400009,3.5963,0.0280231900000001
78986,2024-03-01 07:16:45.994,78976.90000000001,1,6,0.00400009,3.5963,0.0280243000000001
78987,2024-03-01 07:16:46.994,78977.90000000001,1,6,0.00400009,3.5963,0.0280254100000001
78988,2024-03-01 07:16:47.994,78978.90000000001,1,6,0.0040000999999999,3.5963,0.0280265200000001
78989,2024-03-01 07:16:48.994,78979.90000000001,1,6,0.00400011,3.5963,0.0280276300000001
78990,2024-03-01 07:16:49.994,78980.90000000001,1,6,0.00400012,3.5964,0.0280287400000001
78991,2024-03-01 07:16:50.994,78981.90000000001,1,6,0.00400012,3.5964,0.0280298500000001
78992,2024-03-01 07:16:51.994,78982.90000000001,1,6,0.0040000999999999,3.5964,0.0280309600000001
78993,2024-03-01 07:16:52.994,78983.90000000001,1,6,0.00400011,3.5964,0.0280320700000001
78994,2024-03-01 07:16:53.994,78984.90000000001,1,6,0.00400011,3.5964,0.0280331900000001
78995,2024-03-01 07:16:54.994,78985.90000000001,1,6,0.00400012,3.5964,0.0280343000000001
78996,2024-03-01 07:16:55.994,78986.90000000001,1,6,0.00400012,3.5965,0.0280354100000001
78997,2024-03-01 07:16:56.994,78987.90000000001,1,6,0.00400012,3.5965,0.0280365200000001
78998,2024-03-01 07:16:57.994,78988.90000000001,1,6,0.00400011,3.5965,0.0280376300000001
78999,2024-03-01 07:16:58.994,78989.90000000001,1,6,0.00400008,3.5965,0.0280387400000001
79000,2024-03-01 07:16:59.994,78990.90000000001,1,6,0.0040000999999999,3.5966,0.0280398500000001
79001,2024-03-01 07:17:00.994,78991.90000000001,1,6,0.00400009,3.5966,0.0280409600000001
79002,2024-03-01 07:17:01.994,78992.90000000001,1,6,0.00400012,3.5966,0.0280420700000001
79003,2024-03-01 07:17:02.994,78993.90000000001,1,6,0.00400011,3.5966,0.0280431900000001
79004,2024-03-01 07:17:03.994,78994.90000000001,1,6,0.00400012,3.5966,0.0280443000000001
79005,2024-03-01 07:17:04.994,78995.90000000001,1,6,0.00400012,3.5966,0.0280454100000001
79006,2024-03-01 07:17:05.994,78996.90000000001,1,6,0.00400011,3.5966,0.0280465200000001
