Unnamed: 0,Date,Time [s],Cycle,Step,Current [A],Voltage [V],Capacity [Ah]
157918,2024-03-02 05:12:09.191,157900.097,2,5,0.0,3.2084,0.0207608600000055
157919,2024-03-02 05:12:10.191,157901.097,2,5,0.0,3.2084,0.0207608600000055
157920,2024-03-02 05:12:11.191,157902.097,2,5,0.0,3.2084,0.0207608600000055
157921,2024-03-02 05:12:12.191,157903.097,2,5,0.0,3.2084,0.0207608600000055
157922,2024-03-02 05:12:13.191,157904.097,2,5,0.0,3.2085,0.0207608600000055
157923,2024-03-02 05:12:14.191,157905.097,2,5,0.0,3.2085,0.0207608600000055
157924,2024-03-02 05:12:15.191,157906.097,2,5,0.0,3.2085,0.0207608600000055
157925,2024-03-02 05:12:16.191,157907.097,2,5,0.0,3.2085,0.0207608600000055
157926,2024-03-02 05:12:17.191,157908.097,2,5,0.0,3.2086,0.0207608600000055
157927,2024-03-02 05:12:18.191,157909.097,2,5,0.0,3.2086,0.0207608600000055
157928,2024-03-02 05:12:19.191,157910.097,2,5,0.0,3.2086,0.0207608600000055
157929,2024-03-02 05:12:20.191,157911.097,2,5,0.0,3.2086,0.0207608600000055
157930,2024-03-02 05:12:21.191,157912.097,2,5,0.0,3.2086,0.0207608600000055
157931,2024-03-02 05:12:22.191,157913.097,2,5,0.0,3.2087,0.0207608600000055
157932,2024-03-02 05:12:23.191,157914.097,2,5,0.0,3.2087,0.0207608600000055
157933,2024-03-02 05:12:24.191,157915.097,2,5,0.0,3.2087,0.0207608600000055
157934,2024-03-02 05:12:25.191,157916.097,2,5,0.0,3.2087,0.0207608600000055
157935,2024-03-02 05:12:26.191,157917.097,2,5,0.0,3.2088,0.0207608600000055
157936,2024-03-02 05:12:27.191,157918.097,2,5,0.0,3.2088,0.0207608600000055
157937,2024-03-02 05:12:28.191,157919.097,2,5,0.0,3.2088,0.0207608600000055
157938,2024-03-02 05:12:29.191,157920.097,2,5,0.0,3.2088,0.0207608600000055
157939,2024-03-02 05:12:30.191,157921.097,2,5,0.0,3.2089,0.0207608600000055
157940,2024-03-02 05:12:31.191,157922.097,2,5,0.0,3.2089,0.0207608600000055
157941,2024-03-02 05:12:32.191,157923.097,2,5,0.0,3.2089,0.0207608600000055
157942,2024-03-02 05:12:33.191,157924.097,2,5,0.0,3.2089,0.0207608600000055
157943,2024-03-02 05:12:34.191,157925.097,2,5,0.0,3.2089,0.0207608600000055
157944,2024-03-02 05:12:35.191,157926.097,2,5,0.0,3.209,0.0207608600000055
157945,2024-03-02 05:12:36.191,157927.097,2,5,0.0,3.209,0.0207608600000055
157946,2024-03-02 05:12:37.191,157928.097,2,5,0.0,3.209,0.0207608600000055
157947,2024-03-02 05:12:38.191,157929.097,2,5,0.0,3.2091,0.0207608600000055
157948,2024-03-02 05:12:39.191,157930.097,2,5,0.0,3.2091,0.0207608600000055
