Unnamed: 0,Date,Time [s],Cycle,Step,Current [A],Voltage [V],Capacity [Ah]
631672,2024-03-06 09:10:32.095,517803.001,9,11,0.0,3.709,0.0422123900000012
631673,2024-03-06 09:10:32.195,517803.101,9,11,0.0,3.709,0.0422123900000012
631674,2024-03-06 09:10:32.295,517803.201,9,11,0.0,3.709,0.0422123900000012
631675,2024-03-06 09:10:32.395,517803.301,9,11,0.0,3.709,0.0422123900000012
631676,2024-03-06 09:10:32.495,517803.401,9,11,0.0,3.709,0.0422123900000012
631677,2024-03-06 09:10:32.595,517803.501,9,11,0.0,3.709,0.0422123900000012
631678,2024-03-06 09:10:32.695,517803.601,9,11,0.0,3.709,0.0422123900000012
631679,2024-03-06 09:10:32.795,517803.701,9,11,0.0,3.709,0.0422123900000012
631680,2024-03-06 09:10:32.895,517803.801,9,11,0.0,3.709,0.0422123900000012
631681,2024-03-06 09:10:32.995,517803.901,9,11,0.0,3.7089,0.0422123900000012
631682,2024-03-06 09:10:33.095,517804.001,9,11,0.0,3.709,0.0422123900000012
631683,2024-03-06 09:10:33.195,517804.101,9,11,0.0,3.709,0.0422123900000012
631684,2024-03-06 09:10:33.295,517804.201,9,11,0.0,3.709,0.0422123900000012
631685,2024-03-06 09:10:33.395,517804.301,9,11,0.0,3.709,0.0422123900000012
631686,2024-03-06 09:10:33.495,517804.401,9,11,0.0,3.709,0.0422123900000012
631687,2024-03-06 09:10:33.595,517804.501,9,11,0.0,3.709,0.0422123900000012
631688,2024-03-06 09:10:33.695,517804.601,9,11,0.0,3.709,0.0422123900000012
631689,2024-03-06 09:10:33.795,517804.701,9,11,0.0,3.709,0.0422123900000012
631690,2024-03-06 09:10:33.895,517804.801,9,11,0.0,3.709,0.0422123900000012
631691,2024-03-06 09:10:33.995,517804.901,9,11,0.0,3.709,0.0422123900000012
631692,2024-03-06 09:10:34.095,517805.001,9,11,0.0,3.709,0.0422123900000012
631693,2024-03-06 09:10:34.195,517805.101,9,11,0.0,3.709,0.0422123900000012
631694,2024-03-06 09:10:34.295,517805.201,9,11,0.0,3.709,0.0422123900000012
631695,2024-03-06 09:10:34.395,517805.301,9,11,0.0,3.709,0.0422123900000012
631696,2024-03-06 09:10:34.495,517805.401,9,11,0.0,3.709,0.0422123900000012
631697,2024-03-06 09:10:34.595,517805.501,9,11,0.0,3.709,0.0422123900000012
631698,2024-03-06 09:10:34.695,517805.601,9,11,0.0,3.709,0.0422123900000012
631699,2024-03-06 09:10:34.795,517805.701,9,11,0.0,3.709,0.0422123900000012
631700,2024-03-06 09:10:34.895,517805.801,9,11,0.0,3.709,0.0422123900000012
631701,2024-03-06 09:10:34.995,517805.901,9,11,0.0,3.709,0.0422123900000012
