Unnamed: 0,Date,Time [s],Cycle,Step,Current [A],Voltage [V],Capacity [Ah]
394795,2024-03-04 22:59:38.095,394749.001,5,4,-0.00399999,4.1112,0.0596222600000033
394796,2024-03-04 22:59:39.095,394750.001,5,4,-0.00399998,4.1111,0.0596211500000033
394797,2024-03-04 22:59:40.095,394751.001,5,4,-0.00399998,4.1111,0.0596200400000033
394798,2024-03-04 22:59:41.095,394752.001,5,4,-0.00399999,4.1111,0.0596189300000033
394799,2024-03-04 22:59:42.095,394753.001,5,4,-0.00399999,4.111,0.0596178200000033
394800,2024-03-04 22:59:43.095,394754.001,5,4,-0.004,4.111,0.0596167000000033
394801,2024-03-04 22:59:44.095,394755.001,5,4,-0.004,4.111,0.0596155900000033
394802,2024-03-04 22:59:45.095,394756.001,5,4,-0.00400001,4.111,0.0596144800000033
394803,2024-03-04 22:59:46.095,394757.001,5,4,-0.00400001,4.1109,0.0596133700000033
394804,2024-03-04 22:59:47.095,394758.001,5,4,-0.00400001,4.1109,0.0596122600000033
394805,2024-03-04 22:59:48.095,394759.001,5,4,-0.004,4.1109,0.0596111500000033
394806,2024-03-04 22:59:49.095,394760.001,5,4,-0.00400001,4.1109,0.0596100400000033
394807,2024-03-04 22:59:50.095,394761.001,5,4,-0.00400001,4.1108,0.0596089300000033
394808,2024-03-04 22:59:51.095,394762.001,5,4,-0.00400002,4.1108,0.0596078200000033
394809,2024-03-04 22:59:52.095,394763.001,5,4,-0.00400002,4.1108,0.0596067000000033
394810,2024-03-04 22:59:53.095,394764.001,5,4,-0.00400002,4.1108,0.0596055900000033
394811,2024-03-04 22:59:54.095,394765.001,5,4,-0.00400001,4.1107,0.0596044800000033
394812,2024-03-04 22:59:55.095,394766.001,5,4,-0.00400001,4.1107,0.0596033700000033
394813,2024-03-04 22:59:56.095,394767.001,5,4,-0.004,4.1107,0.0596022600000033
394814,2024-03-04 22:59:57.095,394768.001,5,4,-0.00400003,4.1106,0.0596011500000033
394815,2024-03-04 22:59:58.095,394769.001,5,4,-0.00400002,4.1106,0.0596000400000033
394816,2024-03-04 22:59:59.095,394770.001,5,4,-0.00400001,4.1106,0.0595989300000033
394817,2024-03-04 23:00:00.095,394771.001,5,4,-0.00400001,4.1106,0.0595978200000033
394818,2024-03-04 23:00:01.095,394772.001,5,4,-0.004,4.1105,0.0595967000000033
394819,2024-03-04 23:00:02.095,394773.001,5,4,-0.00400002,4.1105,0.0595955900000033
394820,2024-03-04 23:00:03.095,394774.001,5,4,-0.004,4.1105,0.0595944800000033
394821,2024-03-04 23:00:04.095,394775.001,5,4,-0.004,4.1105,0.0595933700000033
394822,2024-03-04 23:00:05.095,394776.001,5,4,-0.004,4.1104,0.0595922600000033
394823,2024-03-04 23:00:06.095,394777.001,5,4,-0.00400001,4.1104,0.0595911500000033
394824,2024-03-04 23:00:07.095,394778.001,5,4,-0.00400002,4.1104,0.0595900400000033
394825,2024-03-04 23:00:08.095,394779.001,5,4,-0.00400001,4.1103,0.0595889300000033
394826,2024-03-04 23:00:09.095,394780.001,5,4,-0.004,4.1103,0.0595878200000033
394827,2024-03-04 23:00:10.095,394781.001,5,4,-0.004,4.1103,0.0595867000000033
394828,2024-03-04 23:00:11.095,394782.001,5,4,-0.004,4.1103,0.0595855900000033
394829,2024-03-04 23:00:12.095,394783.001,5,4,-0.00399999,4.1102,0.0595844800000033
394830,2024-03-04 23:00:13.095,394784.001,5,4,-0.004,4.1102,0.0595833700000033
