Unnamed: 0,Date,Time [s],Cycle,Step,Current [A],Voltage [V],Capacity [Ah]
236877,2024-03-03 03:07:58.294,236849.2,3,4,-0.00400003,3.5909,0.0325132700000054
236878,2024-03-03 03:07:59.294,236850.2,3,4,-0.00400003,3.5909,0.0325121600000054
236879,2024-03-03 03:08:00.294,236851.2,3,4,-0.00400003,3.5909,0.0325110500000054
236880,2024-03-03 03:08:01.294,236852.2,3,4,-0.00400003,3.5909,0.0325099400000054
236881,2024-03-03 03:08:02.294,236853.2,3,4,-0.00400001,3.5909,0.0325088300000054
236882,2024-03-03 03:08:03.294,236854.2,3,4,-0.00400002,3.5909,0.0325077200000054
236883,2024-03-03 03:08:04.294,236855.2,3,4,-0.00400004,3.5909,0.0325066000000054
236884,2024-03-03 03:08:05.294,236856.2,3,4,-0.00400004,3.5909,0.0325054900000054
236885,2024-03-03 03:08:06.294,236857.2,3,4,-0.00400004,3.5908,0.0325043800000054
236886,2024-03-03 03:08:07.294,236858.2,3,4,-0.00400002,3.5908,0.0325032700000054
236887,2024-03-03 03:08:08.294,236859.2,3,4,-0.00400002,3.5908,0.0325021600000054
236888,2024-03-03 03:08:09.294,236860.2,3,4,-0.00400003,3.5908,0.0325010500000054
236889,2024-03-03 03:08:10.294,236861.2,3,4,-0.00400002,3.5908,0.0324999400000054
236890,2024-03-03 03:08:11.294,236862.2,3,4,-0.00400003,3.5908,0.0324988300000054
236891,2024-03-03 03:08:12.294,236863.2,3,4,-0.00400004,3.5908,0.0324977200000054
236892,2024-03-03 03:08:13.294,236864.2,3,4,-0.00400003,3.5908,0.0324966000000054
236893,2024-03-03 03:08:14.294,236865.2,3,4,-0.00400003,3.5907,0.0324954900000054
236894,2024-03-03 03:08:15.294,236866.2,3,4,-0.00400004,3.5907,0.0324943800000054
236895,2024-03-03 03:08:16.294,236867.2,3,4,-0.00400005,3.5907,0.0324932700000054
236896,2024-03-03 03:08:17.294,236868.2,3,4,-0.00400004,3.5907,0.0324921600000054
236897,2024-03-03 03:08:18.294,236869.2,3,4,-0.00400003,3.5907,0.0324910500000054
236898,2024-03-03 03:08:19.294,236870.2,3,4,-0.00400004,3.5907,0.0324899400000054
236899,2024-03-03 03:08:20.294,236871.2,3,4,-0.00400003,3.5907,0.0324888300000054
236900,2024-03-03 03:08:21.294,236872.2,3,4,-0.00400003,3.5906,0.0324877200000054
236901,2024-03-03 03:08:22.294,236873.2,3,4,-0.00400001,3.5906,0.0324866000000054
236902,2024-03-03 03:08:23.294,236874.2,3,4,-0.00400002,3.5906,0.0324854900000054
236903,2024-03-03 03:08:24.294,236875.2,3,4,-0.00400001,3.5906,0.0324843800000054
236904,2024-03-03 03:08:25.294,236876.2,3,4,-0.00400001,3.5906,0.0324832700000054
236905,2024-03-03 03:08:26.294,236877.2,3,4,-0.00400001,3.5906,0.0324821600000054
236906,2024-03-03 03:08:27.294,236878.2,3,4,-0.00400003,3.5906,0.0324810500000054
236907,2024-03-03 03:08:28.294,236879.2,3,4,-0.00400003,3.5905,0.0324799400000054
