Unnamed: 0,Date,Time [s],Cycle,Step,Current [A],Voltage [V],Capacity [Ah]
315836,2024-03-04 01:03:47.689,315798.59500000003,4,4,-0.00400003,3.7697,0.0460714000000057
315837,2024-03-04 01:03:48.689,315799.59500000003,4,4,-0.00400003,3.7697,0.0460702900000057
315838,2024-03-04 01:03:49.689,315800.59500000003,4,4,-0.00400002,3.7697,0.0460691800000057
315839,2024-03-04 01:03:50.689,315801.59500000003,4,4,-0.00400002,3.7697,0.0460680700000057
315840,2024-03-04 01:03:51.689,315802.59500000003,4,4,-0.00400001,3.7696,0.0460669600000057
315841,2024-03-04 01:03:52.689,315803.59500000003,4,4,-0.004,3.7696,0.0460658500000057
315842,2024-03-04 01:03:53.689,315804.59500000003,4,4,-0.00400002,3.7696,0.0460647400000057
315843,2024-03-04 01:03:54.689,315805.59500000003,4,4,-0.00400001,3.7696,0.0460636300000057
315844,2024-03-04 01:03:55.689,315806.59500000003,4,4,-0.00400003,3.7695,0.0460625100000057
315845,2024-03-04 01:03:56.689,315807.59500000003,4,4,-0.00400001,3.7695,0.0460614000000057
315846,2024-03-04 01:03:57.689,315808.59500000003,4,4,-0.00400001,3.7695,0.0460602900000057
315847,2024-03-04 01:03:58.689,315809.59500000003,4,4,-0.00400002,3.7695,0.0460591800000057
315848,2024-03-04 01:03:59.689,315810.59500000003,4,4,-0.00400001,3.7694,0.0460580700000057
315849,2024-03-04 01:04:00.689,315811.59500000003,4,4,-0.00400003,3.7694,0.0460569600000057
315850,2024-03-04 01:04:01.689,315812.59500000003,4,4,-0.00400002,3.7694,0.0460558500000057
315851,2024-03-04 01:04:02.689,315813.59500000003,4,4,-0.00400003,3.7693,0.0460547400000057
315852,2024-03-04 01:04:03.689,315814.59500000003,4,4,-0.00400003,3.7693,0.0460536300000057
315853,2024-03-04 01:04:04.689,315815.59500000003,4,4,-0.00400004,3.7693,0.0460525100000057
315854,2024-03-04 01:04:05.689,315816.59500000003,4,4,-0.00400003,3.7693,0.0460514000000057
315855,2024-03-04 01:04:06.689,315817.59500000003,4,4,-0.00400003,3.7692,0.0460502900000057
315856,2024-03-04 01:04:07.689,315818.59500000003,4,4,-0.00400003,3.7692,0.0460491800000057
315857,2024-03-04 01:04:08.689,315819.59500000003,4,4,-0.00400004,3.7692,0.0460480700000057
315858,2024-03-04 01:04:09.689,315820.59500000003,4,4,-0.00400004,3.7692,0.0460469600000057
315859,2024-03-04 01:04:10.689,315821.59500000003,4,4,-0.00400003,3.7691,0.0460458500000057
315860,2024-03-04 01:04:11.689,315822.59500000003,4,4,-0.00400005,3.7691,0.0460447400000057
315861,2024-03-04 01:04:12.689,315823.59500000003,4,4,-0.00400004,3.7691,0.0460436300000057
